kepid,koi_pdisposition,confidence,koi_period,koi_prad,koi_teq,koi_duration,koi_impact,koi_insol
4466356,FALSE POSITIVE,0.8324955602897599,14.12809896,1.6,781.0,2.326,0.046,87.8
8587439,FALSE POSITIVE,0.8324400527692615,8.39140024,1.1,921.0,1.193,0.342,169.89
11237332,FALSE POSITIVE,0.8321153374247451,19.3073774,1.21,1054.0,3.437,0.0275,292.25
11912911,FALSE POSITIVE,0.8312011061946456,3.74788208,0.94,979.0,4.183,0.09,216.97
5530882,FALSE POSITIVE,0.8308127138515657,5.0825188,0.88,968.0,3.328,0.522,207.45
2712825,FALSE POSITIVE,0.8299973012246729,18.384953,1.36,872.0,5.92,0.012,136.82
3120308,FALSE POSITIVE,0.8299735133905464,10.26558924,1.65,828.0,3.879,0.663,111.18
11760959,FALSE POSITIVE,0.8296814457289632,3.47021401,2.4,933.0,2.289,0.076,179.02
8175131,FALSE POSITIVE,0.8295191207873996,4.27121961,2.17,802.0,2.9283,0.636,97.84
10813841,FALSE POSITIVE,0.8291334573513901,6.17039154,2.17,1029.0,2.116,0.1755,264.63
8652999,FALSE POSITIVE,0.8288762687730572,15.160166,2.09,821.0,5.856,0.228,107.59
5989391,FALSE POSITIVE,0.8288056853203501,71.59889,4.49,645.0,10.53,0.6496,40.96
4459924,FALSE POSITIVE,0.828794569346588,4.79176993,0.81,883.0,4.52,0.372,143.74
6190535,FALSE POSITIVE,0.8287129930872178,3.652810043,0.89,1015.0,1.5132,0.086,250.33
8892721,FALSE POSITIVE,0.8285751631611287,61.4913415,4.57,323.0,9.627,0.92,2.58
10189542,FALSE POSITIVE,0.8284752066111707,24.614775,1.28,574.0,2.395,0.089,25.69
3230095,FALSE POSITIVE,0.827695718040764,7.04716175,1.1,817.0,2.693,0.856,105.1
9159461,FALSE POSITIVE,0.827429379463084,80.519237,1.08,476.0,4.044,0.102,12.11
10164018,FALSE POSITIVE,0.8273870882957377,8.5412411,1.4,767.0,3.654,0.793,81.55
8560927,FALSE POSITIVE,0.8265989969663562,31.9714488,0.87,674.0,8.52,0.34,48.92
7136729,FALSE POSITIVE,0.8261887082860034,3.17319407,0.91,1077.0,2.512,0.211,318.23
6891637,FALSE POSITIVE,0.8259829499345563,1.752553762,1.06,933.0,3.877,0.346,178.74
3337061,FALSE POSITIVE,0.8259140685567596,6.5588346,0.7,973.0,3.034,0.7173,211.64
4355503,FALSE POSITIVE,0.8256463262219161,0.570828503,0.54,986.0,0.915,0.609,222.55
